Project name,source,subid,Age [A],% TCPA Match [B],% Ad Copy Match [C],Distance Factor [D],Rate of Lead Ingestion [E],Trust Score (Normalized)
TT kIMaTT,outwha,1006,0.9166666666666666,0.4772727272727273,0.0,0.8427560425657733,1.0,9.389830508474576
TT kIMaTT,outwha,1786,0.9333333333333333,0.75,0.0,0.8427560425657733,0.5,9.689655172413794
TT kIMaTT,outwha,2188,0.9333333333333333,0.5,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,setnot,,0.9166666666666666,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,9.25
TT kIMaTT,setnot,,0.9166666666666666,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,9.25
TT kIMaTT,setnot,,0.9166666666666666,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,9.25
TT kIMaTT,setnot,,1.0,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,10.0
TT kIMaTT,outwha,1799,0.8833333333333333,0.625,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,1799,0.8833333333333333,0.625,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,1006,0.9,0.4772727272727273,0.0,0.8427560425657733,1.0,9.23728813559322
TT kIMaTT,outwha,1799,0.8666666666666667,0.625,0.0,0.8427560425657733,0.5,9.830188679245284
TT kIMaTT,outwha,1006,0.9,0.4772727272727273,0.0,0.8427560425657733,1.0,9.23728813559322
TT kIMaTT,outwha,1799,0.8333333333333334,0.625,0.0,0.8427560425657733,0.5,9.49056603773585
TT kIMaTT,outtcp,1006,0.48333333333333334,1.0,0.0,0.045362628026221236,0.5,2.125
TT kIMaTT,outwha,2523,0.5833333333333334,0.3333333333333333,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outwha,1006,0.6166666666666667,0.4772727272727273,0.0,0.8427560425657733,1.0,6.6440677966101696
TT kIMaTT,outshi,1072,0.0,1.0,0.0,0.3429806566860774,0.5,1.0
TT kIMaTT,outtcp,1006,0.5333333333333333,1.0,0.0,0.045362628026221236,0.5,5.5
TT kIMaTT,outwha,1799,0.0,0.625,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outwha,1006,0.75,0.4772727272727273,0.0,0.8427560425657733,1.0,7.864406779661017
TT kIMaTT,setnot,,0.4,0.8365243004418262,0.45466021460130446,0.04386100966834852,0.5,4.6
TT kIMaTT,outwha,1799,0.6166666666666667,0.625,0.0,0.8427560425657733,0.5,7.283018867924528
TT kIMaTT,outtcp,1006,0.6,1.0,0.0,0.045362628026221236,0.5,10.0
TT kIMaTT,outwha,1837,0.0,1.0,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,1799,0.8333333333333334,0.625,0.0,0.8427560425657733,0.5,9.49056603773585
TT kIMaTT,outtcp,1006,0.4666666666666667,1.0,0.0,0.045362628026221236,0.5,1.0
TT kIMaTT,outwha,1006,0.36666666666666664,0.4772727272727273,0.0,0.8427560425657733,1.0,4.3559322033898304
TT kIMaTT,outwha,1006,0.7333333333333333,0.4772727272727273,0.0,0.8427560425657733,1.0,7.711864406779661
TT kIMaTT,outtcp,1006,0.4666666666666667,1.0,0.0,0.045362628026221236,0.5,1.0
TT kIMaTT,outtcp,1006,0.4666666666666667,1.0,0.0,0.045362628026221236,0.5,1.0
TT kIMaTT,outwha,1770,0.8333333333333334,0.5,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,1786,0.0,0.75,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outwha,1799,0.3833333333333333,0.625,0.0,0.8427560425657733,0.5,4.90566037735849
TT kIMaTT,outwha,2375,0.8166666666666667,1.0,0.0,0.8427560425657733,0.5,10.0
TT kIMaTT,outwha,2413,0.36666666666666664,0.3333333333333333,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outwha,2188,0.0,0.5,0.0,0.8427560425657733,0.5,1.0
TT kIMaTT,outshi,1072,0.0,1.0,0.0,0.3429806566860774,0.5,1.0
TT kIMaTT,outshi,1072,0.0,1.0,0.0,0.3429806566860774,0.5,1.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
TT kIMaTT,outwha,1006,0.0,0.4772727272727273,0.0,0.8427560425657733,1.0,1.0
